base,variable,tipo,n_no_nulos,pct_completitud,n_unicos
PRONIED_INSPECCIONES_AT,n,int64,8128,100.0,7390
PRONIED_INSPECCIONES_AT,cod_local,string,7313,89.97,5103
PRONIED_INSPECCIONES_AT,unidad_zonal,string,7388,90.9,12
PRONIED_INSPECCIONES_AT,fecha,string,8032,98.82,660
PRONIED_INSPECCIONES_AT,especialista_que_realiza_la_inspeccion,string,7386,90.87,97
PRONIED_INSPECCIONES_AT,solicitud_sgd_correo_u_otro_medio_colocar_el_numero_de_expediente,string,7388,90.9,6084
PRONIED_INSPECCIONES_AT,numero_y_denominacion_del_informe_de_la_inspeccion,string,7388,90.9,5568
PRONIED_INSPECCIONES_AT,enlace_del_informe,string,7387,90.88,303
PRONIED_INSPECCIONES_AT,unidad_u_oficina_del_pronied_a_la_que_se_deriva_el_informe,string,7385,90.86,39
PRONIED_INSPECCIONES_AT,comentarios,string,4267,52.5,1020
PRONIED_INSPECCIONES_AT,unnamed_10,string,1204,14.81,610
PRONIED_INSPECCIONES_AT,tipo_actividad,string,8128,100.0,3
PRONIED_INSPECCIONES_AT,unidad_pronied,string,8128,100.0,2
PRONIED_INSPECCIONES_AT,fuente_archivo,string,8128,100.0,2
PRONIED_INSPECCIONES_AT,fuente_hoja,string,8128,100.0,3
PRONIED_INSPECCIONES_AT,nivel_de_gobierno_gobierno_nacional_gobierno_regional_gobierno_local,string,738,9.08,11
PRONIED_INSPECCIONES_AT,tipo_de_entidad_gr_mp_md_dre_gre_ugel_opcional_director_de_la_i_e,string,735,9.04,57
PRONIED_INSPECCIONES_AT,nombre_de_entidad_en_el_caso_de_que_sea_un_director_de_la_i_e_colocar_el_codigo_local_de_la_i_e,string,651,8.01,398
PRONIED_INSPECCIONES_AT,nombre_de_la_unidad_zonal,string,650,8.0,11
PRONIED_INSPECCIONES_AT,numero_de_participantes,string,711,8.75,136
PRONIED_INSPECCIONES_AT,tema_1_fortalecimiento_de_capacidades_en_gestionar_inversiones_2_fortalecimiento_de_capacidades_en_gestionar_otras_intervenciones_3_fortalecimiento_de_capacidades_en_herramientas_de_gestion_de_la_infraestructura_educativa_4_fortalecimiento_de_capacidades_en_el_marco_normativo_de_la_infraestructura_educativa_5_fortalecimiento_de_capacidades_en_el_recojo_de_informacion_diagnosticos_priorizacion_o_modalidades_de_financiamiento,string,737,9.07,39
PRONIED_INSPECCIONES_AT,titulo_del_asesoramiento_o_asistencia_tecnica,string,728,8.96,246
PRONIED_INSPECCIONES_AT,nombre_de_entidad_en_el_caso_de_que_sea_un_director_de_la_i_e_colocar_el_codigo_local,string,87,1.07,23
PRONIED_INSPECCIONES_AT,ano,float64,87,1.07,1
PRONIED_INSPECCIONES_AT,unidad_u_oficina_del_pronied,string,87,1.07,4
PRONIED_INSPECCIONES_AT,cui,string,0,0.0,0
PRONIED_INSPECCIONES_AT,cod_mod,string,0,0.0,0
PRONIED_INSPECCIONES_AT,anexo,string,0,0.0,0
PRONIED_INSPECCIONES_AT,flag_dup_clave,Int8,8128,100.0,2
