base,variable,tipo,n_no_nulos,pct_completitud,n_unicos
PRONIED_INVERSIONES,n,string,804,99.88,748
PRONIED_INVERSIONES,cui,string,804,99.88,789
PRONIED_INVERSIONES,cod_local,string,57,7.08,50
PRONIED_INVERSIONES,cod_mod_lista,string,38,4.72,37
PRONIED_INVERSIONES,tipo_inversion,string,805,100.0,6
PRONIED_INVERSIONES,monto,float64,805,100.0,788
PRONIED_INVERSIONES,fase,string,57,7.08,7
PRONIED_INVERSIONES,etapa,string,35,4.35,3
PRONIED_INVERSIONES,avance_fisico,string,45,5.59,20
PRONIED_INVERSIONES,avance_financiero,string,5,0.62,2
PRONIED_INVERSIONES,capacidad_operativa_de_estudiantes_en_un_turno,string,45,5.59,42
PRONIED_INVERSIONES,fecha_inicio,string,24,2.98,22
PRONIED_INVERSIONES,fecha_culminacion,string,24,2.98,24
PRONIED_INVERSIONES,fecha_recepcion,string,24,2.98,23
PRONIED_INVERSIONES,fecha_entrega,string,8,0.99,8
PRONIED_INVERSIONES,fecha_inauguracion,string,8,0.99,8
PRONIED_INVERSIONES,comentarios,string,379,47.08,350
PRONIED_INVERSIONES,nom_local,string,57,7.08,57
PRONIED_INVERSIONES,unnamed_18,string,48,5.96,1
PRONIED_INVERSIONES,unidad_pronied,string,805,100.0,2
PRONIED_INVERSIONES,fuente_archivo,string,805,100.0,2
PRONIED_INVERSIONES,fuente_hoja,string,805,100.0,3
PRONIED_INVERSIONES,n_locales,float64,748,92.92,13
PRONIED_INVERSIONES,periodo_inicial,string,418,51.93,15
PRONIED_INVERSIONES,periodo_final_actual,string,418,51.93,3
PRONIED_INVERSIONES,estado_admitido_continuidad_culminado_descalificado_desestimado_en_revision_revisado_etc,string,418,51.93,2
PRONIED_INVERSIONES,etapa_costos_culminado_especialidades_estudios_basicos_no_culminado_revisado_etc,string,418,51.93,4
PRONIED_INVERSIONES,fecha_aprob_et,string,418,51.93,1
PRONIED_INVERSIONES,fecha_caducidad_et,string,418,51.93,1
PRONIED_INVERSIONES,ano_trans_ini,float64,329,40.87,15
PRONIED_INVERSIONES,ano_trans_fin,float64,329,40.87,12
PRONIED_INVERSIONES,documento_de_la_transferencia_agregar_columnas_si_las_transferencias_es_mayor_a_1_ano,string,329,40.87,44
PRONIED_INVERSIONES,unnamed_5,string,329,40.87,40
PRONIED_INVERSIONES,unnamed_6,string,329,40.87,28
PRONIED_INVERSIONES,unnamed_7,string,329,40.87,23
PRONIED_INVERSIONES,unnamed_8,string,329,40.87,17
PRONIED_INVERSIONES,unnamed_9,string,329,40.87,12
PRONIED_INVERSIONES,unnamed_10,string,329,40.87,12
PRONIED_INVERSIONES,unnamed_11,string,329,40.87,7
PRONIED_INVERSIONES,unnamed_12,string,329,40.87,5
PRONIED_INVERSIONES,unnamed_13,string,329,40.87,4
PRONIED_INVERSIONES,unnamed_14,string,329,40.87,2
PRONIED_INVERSIONES,unnamed_15,string,1,0.12,1
PRONIED_INVERSIONES,estado_del_proyecto_de_inversion_pi_en_ejecucion_de_obra_transferencia_de_obra_obra_en_proceso_de_seleccion_contratacion_de_obra_incorporacion_de_recursos_et_apto_para_financiamiento_liquidacion_de_obra_recepcion_de_obra_contrato_resuelto_culminacion_de_obra_suspendida_et_aprobado_paralizado_cerrado_convenio_resuelto_et_en_elaboracion_adjudicacion_de_obra_etc,string,329,40.87,15
PRONIED_INVERSIONES,monto_transferido,float64,330,40.99,330
PRONIED_INVERSIONES,cod_mod,string,0,0.0,0
PRONIED_INVERSIONES,anexo,string,0,0.0,0
PRONIED_INVERSIONES,flag_dup_clave,Int8,805,100.0,2
