base,variable,tipo,n_no_nulos,pct_completitud,n_unicos
PRONIED_MANTENIMIENTO,n,int64,140739,100.0,55014
PRONIED_MANTENIMIENTO,ano,float64,136,0.1,2
PRONIED_MANTENIMIENTO,cod_local,string,140739,100.0,55448
PRONIED_MANTENIMIENTO,nom_local,string,136,0.1,136
PRONIED_MANTENIMIENTO,tipo_intervencion,string,136,0.1,3
PRONIED_MANTENIMIENTO,fecha_entrega,datetime64[us],136,0.1,65
PRONIED_MANTENIMIENTO,monto,string,136,0.1,132
PRONIED_MANTENIMIENTO,fase,string,136,0.1,8
PRONIED_MANTENIMIENTO,etapa,string,130,0.09,6
PRONIED_MANTENIMIENTO,comentarios,string,304,0.22,3
PRONIED_MANTENIMIENTO,periodo,string,140739,100.0,14
PRONIED_MANTENIMIENTO,modalidad,string,140739,100.0,3
PRONIED_MANTENIMIENTO,unidad_pronied,string,140739,100.0,1
PRONIED_MANTENIMIENTO,fuente_archivo,string,140739,100.0,1
PRONIED_MANTENIMIENTO,fuente_hoja,string,140739,100.0,13
PRONIED_MANTENIMIENTO,codigos_modulares_del_local_educativo,string,139632,99.21,63744
PRONIED_MANTENIMIENTO,monto_mant,float64,137189,97.48,1284
PRONIED_MANTENIMIENTO,monto_rutas,float64,6059,4.31,35
PRONIED_MANTENIMIENTO,monto_asignado,float64,140603,99.9,4468
PRONIED_MANTENIMIENTO,monto_transferido,float64,117599,83.56,4339
PRONIED_MANTENIMIENTO,estado_fam,string,137189,97.48,5
PRONIED_MANTENIMIENTO,cubiertas_y_o_techos,float64,33312,23.67,7124
PRONIED_MANTENIMIENTO,equipamiento,float64,20926,14.87,3219
PRONIED_MANTENIMIENTO,instalaciones_de_gas,float64,53,0.04,32
PRONIED_MANTENIMIENTO,instalaciones_electricas,float64,34162,24.27,6176
PRONIED_MANTENIMIENTO,instalaciones_especiales,float64,290,0.21,127
PRONIED_MANTENIMIENTO,instalaciones_sanitarias,float64,52077,37.0,8675
PRONIED_MANTENIMIENTO,mobiliario,float64,25038,17.79,3340
PRONIED_MANTENIMIENTO,muros,float64,20841,14.81,5049
PRONIED_MANTENIMIENTO,pasamanos_y_barandas,float64,2776,1.97,858
PRONIED_MANTENIMIENTO,pintura,float64,7615,5.41,2995
PRONIED_MANTENIMIENTO,pisos,float64,21753,15.46,6087
PRONIED_MANTENIMIENTO,puertas,float64,30208,21.46,3796
PRONIED_MANTENIMIENTO,red_telefonica_internet,float64,1029,0.73,314
PRONIED_MANTENIMIENTO,rejas,float64,5635,4.0,1368
PRONIED_MANTENIMIENTO,rutas_solidarias,float64,4236,3.01,268
PRONIED_MANTENIMIENTO,seguridad,float64,13645,9.7,1560
PRONIED_MANTENIMIENTO,transporte,float64,46645,33.14,3347
PRONIED_MANTENIMIENTO,vegetacion_en_areas_exteriores,float64,3618,2.57,1006
PRONIED_MANTENIMIENTO,ventanas,float64,18370,13.05,2646
PRONIED_MANTENIMIENTO,monto_fam,float64,80349,57.09,7095
PRONIED_MANTENIMIENTO,estado_dg,string,140113,99.56,6
PRONIED_MANTENIMIENTO,cubiertas_y_o_techos_1,float64,27459,19.51,8275
PRONIED_MANTENIMIENTO,equipamiento_1,float64,19066,13.55,4267
PRONIED_MANTENIMIENTO,instalaciones_de_gas_1,float64,36,0.03,31
PRONIED_MANTENIMIENTO,instalaciones_electricas_1,float64,28539,20.28,7953
PRONIED_MANTENIMIENTO,instalaciones_especiales_1,float64,106,0.08,67
PRONIED_MANTENIMIENTO,instalaciones_sanitarias_1,float64,43150,30.66,11576
PRONIED_MANTENIMIENTO,mobiliario_1,float64,21799,15.49,3986
PRONIED_MANTENIMIENTO,muros_1,float64,17750,12.61,6208
PRONIED_MANTENIMIENTO,pasamanos_y_barandas_1,float64,2272,1.61,950
PRONIED_MANTENIMIENTO,pintura_1,float64,6658,4.73,3395
PRONIED_MANTENIMIENTO,pisos_1,float64,18556,13.18,7230
PRONIED_MANTENIMIENTO,puertas_1,float64,25732,18.28,4860
PRONIED_MANTENIMIENTO,red_telefonica_internet_1,float64,811,0.58,356
PRONIED_MANTENIMIENTO,rejas_1,float64,4933,3.51,1602
PRONIED_MANTENIMIENTO,rutas_solidarias_1,float64,4020,2.86,232
PRONIED_MANTENIMIENTO,seguridad_1,float64,11134,7.91,1919
PRONIED_MANTENIMIENTO,transporte_1,float64,38336,27.24,4166
PRONIED_MANTENIMIENTO,vegetacion_en_areas_exteriores_1,float64,2950,2.1,1237
PRONIED_MANTENIMIENTO,ventanas_1,float64,15315,10.88,3144
PRONIED_MANTENIMIENTO,monto_dg,float64,69232,49.19,7760
PRONIED_MANTENIMIENTO,pref_modalidad,string,138251,98.23,15
PRONIED_MANTENIMIENTO,cod_mod,string,138251,98.23,69196
PRONIED_MANTENIMIENTO,estado_faa,string,3167,2.25,6
PRONIED_MANTENIMIENTO,reparacion_de_techos,float64,192,0.14,135
PRONIED_MANTENIMIENTO,reparacion_de_instalaciones_sanitarias,float64,54,0.04,41
PRONIED_MANTENIMIENTO,reparacion_de_muros,float64,157,0.11,104
PRONIED_MANTENIMIENTO,reparacion_de_pisos,float64,133,0.09,106
PRONIED_MANTENIMIENTO,reparacion_de_instalaciones_electricas,float64,137,0.1,105
PRONIED_MANTENIMIENTO,mantenimiento_de_areas_verdes,float64,107,0.08,72
PRONIED_MANTENIMIENTO,cambio_de_pisos_por_antideslizantes_en_rampas,float64,31,0.02,27
PRONIED_MANTENIMIENTO,adquisicion_de_materiales_pedagogicos_y_tecnologicos_especificos_para_estudiantes_con_necesidades_educativas_especial_asociadas_a_discapacidad,float64,274,0.19,26
PRONIED_MANTENIMIENTO,monto_faa,float64,2351,1.67,866
PRONIED_MANTENIMIENTO,reparacion_de_techos_1,float64,20,0.01,20
PRONIED_MANTENIMIENTO,reparacion_de_instalaciones_sanitarias_1,float64,5,0.0,5
PRONIED_MANTENIMIENTO,reparacion_de_muros_1,float64,17,0.01,17
PRONIED_MANTENIMIENTO,reparacion_de_pisos_1,float64,12,0.01,12
PRONIED_MANTENIMIENTO,reparacion_de_instalaciones_electricas_1,float64,10,0.01,10
PRONIED_MANTENIMIENTO,mantenimiento_de_areas_verdes_1,float64,8,0.01,8
PRONIED_MANTENIMIENTO,cambio_de_pisos_por_antideslizantes_en_rampas_1,float64,4,0.0,4
PRONIED_MANTENIMIENTO,adquisicion_de_materiales_pedagogicos_y_tecnologicos_especificos_para_estudiantes_con_necesidades_educativas_especial_asociadas_a_discapacidad_1,float64,36,0.03,11
PRONIED_MANTENIMIENTO,acceso_al_local_educativo_y_areas_exteriores,float64,75,0.05,65
PRONIED_MANTENIMIENTO,acceso_a_edificaciones,float64,97,0.07,92
PRONIED_MANTENIMIENTO,servicios_higienicos_prite,float64,38,0.03,35
PRONIED_MANTENIMIENTO,servicios_higienicos_cebe,float64,105,0.07,103
PRONIED_MANTENIMIENTO,servicios_higienicos_de_otras_modalidades,float64,18,0.01,17
PRONIED_MANTENIMIENTO,area_de_recreacion_accesibles,float64,110,0.08,105
PRONIED_MANTENIMIENTO,senalizacion,float64,571,0.41,279
PRONIED_MANTENIMIENTO,circulacion_vertical,float64,29,0.02,29
PRONIED_MANTENIMIENTO,escaleras,float64,362,0.26,232
PRONIED_MANTENIMIENTO,muros_paneles_ss_hh,float64,78,0.06,78
PRONIED_MANTENIMIENTO,rampas,float64,1016,0.72,639
PRONIED_MANTENIMIENTO,senalizacion_1,float64,423,0.3,270
PRONIED_MANTENIMIENTO,vegetacion,float64,315,0.22,172
PRONIED_MANTENIMIENTO,material_pedagogico_y_o_tecnologico_para_cebe_y_o_prite,float64,127,0.09,97
PRONIED_MANTENIMIENTO,muros_paneles,float64,439,0.31,256
PRONIED_MANTENIMIENTO,varios,float64,249,0.18,198
PRONIED_MANTENIMIENTO,escaleras_1,float64,276,0.2,204
PRONIED_MANTENIMIENTO,material_pedagogico_y_o_tecnologico_para_cebe_y_o_prite_1,float64,85,0.06,76
PRONIED_MANTENIMIENTO,muros_paneles_1,float64,383,0.27,283
PRONIED_MANTENIMIENTO,rampas_1,float64,823,0.58,574
PRONIED_MANTENIMIENTO,varios_1,float64,175,0.12,169
PRONIED_MANTENIMIENTO,material_pedagogico_y_o_tecnologico,float64,569,0.4,149
PRONIED_MANTENIMIENTO,material_pedagogico_y_o_tecnologico_1,float64,591,0.42,163
PRONIED_MANTENIMIENTO,material_pedagogico_y_o_tecnologico_para_la_atencion_de_estudiantes_con_nnee_asociadas_a_discapacidad,float64,75,0.05,8
PRONIED_MANTENIMIENTO,material_pedagogico_y_o_tecnologico_para_la_atencion_de_estudiantes_con_nnee_asociadas_a_discapacidad_1,float64,74,0.05,9
PRONIED_MANTENIMIENTO,vegetacion_1,float64,242,0.17,142
PRONIED_MANTENIMIENTO,c1_ingreso_al_local_educativo,float64,141,0.1,73
PRONIED_MANTENIMIENTO,c2_ingreso_a_la_edificacion,float64,169,0.12,88
PRONIED_MANTENIMIENTO,c3_circulacion_horizontal,float64,161,0.11,83
