base,variable,tipo,n_no_nulos,pct_completitud,n_unicos
PRONIED_MODULAR_EQUIP,n,int64,2118,100.0,1585
PRONIED_MODULAR_EQUIP,cod_local,string,2118,100.0,581
PRONIED_MODULAR_EQUIP,cod_mod,string,2118,100.0,668
PRONIED_MODULAR_EQUIP,grupo_aula_domo_aula_modular_escuela_modular_modulo_ss_hh_pararrayo_redes_complementarias_etc,string,533,25.17,9
PRONIED_MODULAR_EQUIP,descripcion_del_bien,string,2118,100.0,226
PRONIED_MODULAR_EQUIP,fecha_de_entrega_o_estimada_pecosa,string,2002,94.52,116
PRONIED_MODULAR_EQUIP,estado_instalado_donado_etc,string,417,19.69,4
PRONIED_MODULAR_EQUIP,capacidad_operativa_solo_escuela_modular_aula_modular_y_aula_domo,string,355,16.76,2
PRONIED_MODULAR_EQUIP,monto_contractual_s,float64,533,25.17,188
PRONIED_MODULAR_EQUIP,total_de_bienes,int64,2118,100.0,95
PRONIED_MODULAR_EQUIP,comentarios,string,58,2.74,20
PRONIED_MODULAR_EQUIP,unidad_pronied,string,2118,100.0,1
PRONIED_MODULAR_EQUIP,tipo_intervencion,string,2118,100.0,3
PRONIED_MODULAR_EQUIP,fuente_archivo,string,2118,100.0,1
PRONIED_MODULAR_EQUIP,fuente_hoja,string,2118,100.0,3
PRONIED_MODULAR_EQUIP,cui,string,1585,74.83,82
PRONIED_MODULAR_EQUIP,grupo_mobiliario_equipamiento,string,1585,74.83,6
PRONIED_MODULAR_EQUIP,fase_del_proceso,string,1585,74.83,4
PRONIED_MODULAR_EQUIP,etapa_del_proceso,string,1585,74.83,4
PRONIED_MODULAR_EQUIP,monto_de_inversion_s,float64,1585,74.83,999
PRONIED_MODULAR_EQUIP,locales_educativos,string,116,5.48,66
PRONIED_MODULAR_EQUIP,ano_de_instalacion,float64,116,5.48,9
PRONIED_MODULAR_EQUIP,fecha_de_inicio_o_estimada,datetime64[us],116,5.48,1
PRONIED_MODULAR_EQUIP,estado_no_iniciado_en_proceso_culminado,string,116,5.48,1
PRONIED_MODULAR_EQUIP,anexo,string,0,0.0,0
PRONIED_MODULAR_EQUIP,flag_dup_clave,Int8,2118,100.0,2
